,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
0,O=C1c2c(c(c(Cl)c(c2[C@@]2(C(N1C(c1nnc(o1)[H])([H])[H])([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c1nc(nc(n1)[H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7f0a1c4a2a70>,6.69447,,True,True,False,
1,C(Oc1c(c(c(N(C(c2c(c(c(c(Cl)c2[H])[H])[H])[H])([H])[H])C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09fc552b60>,6.06315,,True,True,False,
2,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2([N+]([H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09fc5505e0>,6.34866,,True,True,False,
3,O=C1c2c(c(c(Cl)c(c2[C@@]2(C(N1C(c1c(c(nnc1[H])[H])[H])([H])[H])([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c1c(c(nc(n1)[H])[H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7f0b3e428950>,6.60933,,True,True,False,
4,C([C@]1(c2c(c(sc2C(C(N1C(=O)C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c25e390>,5.40567,,True,True,False,
5,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C#N)([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a60690c70>,6.25598,,True,True,False,
6,C(C(C(=O)[N@+]1(C(C(C(c2c(N(C(c3c(c(c(c(Cl)c3[H])[H])[H])[H])([H])[H])C(=O)C(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])([H])[H])c(c(c(c12)[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c5cd4e0>,6.28992,,True,True,False,
7,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c5ccae0>,4.79977,,True,True,False,
8,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C(=O)N(C(c1c(c(nn1C([H])([H])[H])[H])[H])([H])[H])[H])([H])[H])C(=O)c1c(c(c(c(c21)[H])[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a606a2c00>,6.11294,,True,True,False,
9,C(c1c(c(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(F)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])on1)[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c1194e0>,6.06447,,True,True,False,
