,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
0,C(N1C(=O)N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)C21C(N(S(=O)(=O)c1c(c(c(c(c1[H])[H])[H])[H])[H])C2([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f313455d580>,5.4534,,True,True,False,
1,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(c(n(n1)[H])[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f31107b90d0>,6.9206,,True,True,False,
2,O=C1N([C@@]2(C(C(Oc3c(c(nc(c23)[H])[H])[H])([H])[H])([H])[H])C(=O)N1c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])[H],<rdkit.Chem.rdchem.Mol object at 0x7f314f1e0ba0>,0.0,,True,False,False,
3,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(nn(n1)[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f3134588f40>,7.02008,,True,True,False,
4,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(nn(n1)[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f30f061dfd0>,7.02008,,True,True,False,
5,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(C(C(F)(F)F)(C(C1([H])[H])([H])[H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f313457c400>,5.06448,,True,True,False,
6,C(n1nc(c2c(nc(c(N(C(=O)[C@@]3(C(N(S(=O)(=O)c4c(c(c(Cl)c(c34)[H])[H])[H])[H])([H])[H])[H])[H])c12)[H])[H])[H])([H])([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7f314f112180>,0.0,,True,False,False,
7,C(C(n1nc(c(c1C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C([H])([H])[H])[H])([H])[H])c2c(c(F)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f31105c5260>,7.14207,,True,True,False,
8,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N(C(c1c(c(c(c(Cl)c1[H])[H])[H])[H])([H])[H])[C@]12C(C([C@](C1([H])[H])([N@+](C(C1(C(OC1([H])[H])([H])[H])[H])([H])[H])(C2([H])[H])[H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f31107b9440>,6.05603,,True,True,False,
9,C(C(n1nc(c(c1C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C([H])([H])[H])[H])([H])[H])c2c(c(F)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f3110407a10>,7.14207,,True,True,False,
